province_code,province_name
ID-AC,Aceh
ID-SU,Sumatra Utara
ID-SB,Sumatra Barat
ID-RI,Riau
ID-JA,Jambi
ID-SS,Sumatra Selatan
ID-BE,Bengkulu
ID-LA,Lampung
ID-BB,Kepulauan Bangka Belitung
ID-KR,kepulauan Riau
ID-JK,Derah Khusus Ibukota Jakarta
ID-JB,Jawa Barat
ID-JT,Jawa Tengah
ID-YO,Daerah Istimewa Yogyakarta
ID-JI,Jawa Timur
ID-BT,Banten
ID-BA,Bali
ID-NB,Nusa Tenggara Barat
ID-NT,Nusa Tenggara Timur
ID-KB,Kalimantan Barat
ID-KT,Kalimantan Tengah
ID-KS,Kalimantan Selatan
ID_KI,Kalimantan Timur
ID-KU,Kalimantan Utara
ID-SA,Sulawesi Utara
ID-ST,Sulawesi Tengah
ID-SN,Sulawesi Selatan
ID-SG,Sulawesi Tenggara
ID-GO,Gorontalo
ID-SR,Sulawesi Barat
ID-MA,Maluku
ID-MU,Maluku Utara
ID-PA,Papua
ID-PB,Papua Barat
ID-PS,Papua Selatan
ID-PT,Papua Tengah
ID-PE,Papua Pegunungan
ID-PD,Papua Barat Daya
